locale,service_url,primary_keyword,secondary_keywords,schema_type,canonical,internal_links,content_requirements,priority_score,service_mapping,service_slug,city_slug
en-us,https://nrlc.ai/en-us/services/generative-seo/oklahoma-city/,"copilot seo tracker","perplexity optimisation services, generative engine optimisation glasgow, llm seeding, ongoing llm seo techniques",Service,https://nrlc.ai/en-us/services/generative-seo/oklahoma-city/,"/en-us/services/crawl-clarity/ | /en-us/services/json-ld-strategy/ | /en-us/services/llm-seeding/ | /en-us/services/ai-overview-optimization/","Include primary keyword: 'copilot seo tracker' in H1 and first paragraph; Reference secondary keywords: 'perplexity optimisation services', 'generative engine optimisation glasgow' in body content; Include LLM citation optimization strategies; Reference AI Overviews optimization",1.6,llm_strategy,generative-seo,oklahoma-city
ko-kr,https://nrlc.ai/ko-kr/services/technical-audit-ai/kazo/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/ko-kr/services/technical-audit-ai/kazo/,"/ko-kr/services/crawl-clarity/ | /ko-kr/services/json-ld-strategy/ | /ko-kr/services/llm-seeding/ | /ko-kr/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,technical-audit-ai,kazo
en-us,https://nrlc.ai/en-us/services/llm-content-strategy/san-francisco/,"copilot seo tracker","perplexity optimisation services, generative engine optimisation glasgow, llm seeding, ongoing llm seo techniques",Service,https://nrlc.ai/en-us/services/llm-content-strategy/san-francisco/,"/en-us/services/crawl-clarity/ | /en-us/services/json-ld-strategy/ | /en-us/services/llm-seeding/ | /en-us/services/ai-overview-optimization/","Include primary keyword: 'copilot seo tracker' in H1 and first paragraph; Reference secondary keywords: 'perplexity optimisation services', 'generative engine optimisation glasgow' in body content; Include LLM citation optimization strategies; Reference AI Overviews optimization",1.6,llm_strategy,llm-content-strategy,san-francisco
en-us,https://nrlc.ai/en-us/services/ai-overviews-optimization/bristol/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/en-us/services/ai-overviews-optimization/bristol/,"/en-us/services/crawl-clarity/ | /en-us/services/json-ld-strategy/ | /en-us/services/llm-seeding/ | /en-us/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,ai-overviews-optimization,bristol
en-us,https://nrlc.ai/en-us/services/copilot-optimization/london/,"copilot seo tracker","perplexity optimisation services, generative engine optimisation glasgow, llm seeding, ongoing llm seo techniques",Service,https://nrlc.ai/en-us/services/copilot-optimization/london/,"/en-us/services/crawl-clarity/ | /en-us/services/json-ld-strategy/ | /en-us/services/llm-seeding/ | /en-us/services/ai-overview-optimization/","Include primary keyword: 'copilot seo tracker' in H1 and first paragraph; Reference secondary keywords: 'perplexity optimisation services', 'generative engine optimisation glasgow' in body content; Include LLM citation optimization strategies; Reference AI Overviews optimization",1.6,llm_strategy,copilot-optimization,london
fr-fr,https://nrlc.ai/fr-fr/services/technical-seo/miami/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/fr-fr/services/technical-seo/miami/,"/fr-fr/services/crawl-clarity/ | /fr-fr/services/json-ld-strategy/ | /fr-fr/services/llm-seeding/ | /fr-fr/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,technical-seo,miami
en-us,https://nrlc.ai/services/conversion-optimization-ai/sacramento/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/services/conversion-optimization-ai/sacramento/,"/services/crawl-clarity/ | /services/json-ld-strategy/ | /services/llm-seeding/ | /services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,conversion-optimization-ai,sacramento
en-us,https://nrlc.ai/services/completeness-optimization-ai/bristol/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/services/completeness-optimization-ai/bristol/,"/services/crawl-clarity/ | /services/json-ld-strategy/ | /services/llm-seeding/ | /services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,completeness-optimization-ai,bristol
en-us,https://nrlc.ai/en-us/services/ai-search-optimization/omaha/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/en-us/services/ai-search-optimization/omaha/,"/en-us/services/crawl-clarity/ | /en-us/services/json-ld-strategy/ | /en-us/services/llm-seeding/ | /en-us/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,ai-search-optimization,omaha
en-gb,https://nrlc.ai/en-gb/services/perplexity-optimization/hamamatsu/,"copilot seo tracker","perplexity optimisation services, generative engine optimisation glasgow, llm seeding, ongoing llm seo techniques",Service,https://nrlc.ai/en-gb/services/perplexity-optimization/hamamatsu/,"/en-gb/services/crawl-clarity/ | /en-gb/services/json-ld-strategy/ | /en-gb/services/llm-seeding/ | /en-gb/services/ai-overview-optimization/","Include primary keyword: 'copilot seo tracker' in H1 and first paragraph; Reference secondary keywords: 'perplexity optimisation services', 'generative engine optimisation glasgow' in body content; Include LLM citation optimization strategies; Reference AI Overviews optimization",1.6,llm_strategy,perplexity-optimization,hamamatsu
en-us,https://nrlc.ai/services/link-building-ai/stockport/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/services/link-building-ai/stockport/,"/services/crawl-clarity/ | /services/json-ld-strategy/ | /services/llm-seeding/ | /services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,link-building-ai,stockport
de-de,https://nrlc.ai/de-de/services/conversion-optimization-ai/oklahoma-city/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/de-de/services/conversion-optimization-ai/oklahoma-city/,"/de-de/services/crawl-clarity/ | /de-de/services/json-ld-strategy/ | /de-de/services/llm-seeding/ | /de-de/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,conversion-optimization-ai,oklahoma-city
en-us,https://nrlc.ai/en-us/services/local-seo-ai/stockport/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/en-us/services/local-seo-ai/stockport/,"/en-us/services/crawl-clarity/ | /en-us/services/json-ld-strategy/ | /en-us/services/llm-seeding/ | /en-us/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,local-seo-ai,stockport
en-gb,https://nrlc.ai/en-gb/services/entity-optimization-ai/glasgow/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/en-gb/services/entity-optimization-ai/glasgow/,"/en-gb/services/crawl-clarity/ | /en-gb/services/json-ld-strategy/ | /en-gb/services/llm-seeding/ | /en-gb/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,entity-optimization-ai,glasgow
en-gb,https://nrlc.ai/en-gb/services/technical-seo/indianapolis/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/en-gb/services/technical-seo/indianapolis/,"/en-gb/services/crawl-clarity/ | /en-gb/services/json-ld-strategy/ | /en-gb/services/llm-seeding/ | /en-gb/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,technical-seo,indianapolis
fr-fr,https://nrlc.ai/fr-fr/services/perplexity-optimization/columbus/,"copilot seo tracker","perplexity optimisation services, generative engine optimisation glasgow, llm seeding, ongoing llm seo techniques",Service,https://nrlc.ai/fr-fr/services/perplexity-optimization/columbus/,"/fr-fr/services/crawl-clarity/ | /fr-fr/services/json-ld-strategy/ | /fr-fr/services/llm-seeding/ | /fr-fr/services/ai-overview-optimization/","Include primary keyword: 'copilot seo tracker' in H1 and first paragraph; Reference secondary keywords: 'perplexity optimisation services', 'generative engine optimisation glasgow' in body content; Include LLM citation optimization strategies; Reference AI Overviews optimization",1.6,llm_strategy,perplexity-optimization,columbus
fr-fr,https://nrlc.ai/fr-fr/services/site-audits/jacksonville/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/fr-fr/services/site-audits/jacksonville/,"/fr-fr/services/crawl-clarity/ | /fr-fr/services/json-ld-strategy/ | /fr-fr/services/llm-seeding/ | /fr-fr/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,site-audits,jacksonville
en-gb,https://nrlc.ai/en-gb/services/technical-audit-ai/hull/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/en-gb/services/technical-audit-ai/hull/,"/en-gb/services/crawl-clarity/ | /en-gb/services/json-ld-strategy/ | /en-gb/services/llm-seeding/ | /en-gb/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,technical-audit-ai,hull
es-es,https://nrlc.ai/es-es/services/llm-content-strategy/newcastle/,"copilot seo tracker","perplexity optimisation services, generative engine optimisation glasgow, llm seeding, ongoing llm seo techniques",Service,https://nrlc.ai/es-es/services/llm-content-strategy/newcastle/,"/es-es/services/crawl-clarity/ | /es-es/services/json-ld-strategy/ | /es-es/services/llm-seeding/ | /es-es/services/ai-overview-optimization/","Include primary keyword: 'copilot seo tracker' in H1 and first paragraph; Reference secondary keywords: 'perplexity optimisation services', 'generative engine optimisation glasgow' in body content; Include LLM citation optimization strategies; Reference AI Overviews optimization",1.6,llm_strategy,llm-content-strategy,newcastle
de-de,https://nrlc.ai/de-de/services/contextual-seo-ai/glasgow/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/de-de/services/contextual-seo-ai/glasgow/,"/de-de/services/crawl-clarity/ | /de-de/services/json-ld-strategy/ | /de-de/services/llm-seeding/ | /de-de/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,contextual-seo-ai,glasgow
en-us,https://nrlc.ai/services/bard-optimization/huddersfield/,"copilot seo tracker","perplexity optimisation services, generative engine optimisation glasgow, llm seeding, ongoing llm seo techniques",Service,https://nrlc.ai/services/bard-optimization/huddersfield/,"/services/crawl-clarity/ | /services/json-ld-strategy/ | /services/llm-seeding/ | /services/ai-overview-optimization/","Include primary keyword: 'copilot seo tracker' in H1 and first paragraph; Reference secondary keywords: 'perplexity optimisation services', 'generative engine optimisation glasgow' in body content; Include LLM citation optimization strategies; Reference AI Overviews optimization",1.6,llm_strategy,bard-optimization,huddersfield
en-us,https://nrlc.ai/services/generative-seo/singapore/,"copilot seo tracker","perplexity optimisation services, generative engine optimisation glasgow, llm seeding, ongoing llm seo techniques",Service,https://nrlc.ai/services/generative-seo/singapore/,"/services/crawl-clarity/ | /services/json-ld-strategy/ | /services/llm-seeding/ | /services/ai-overview-optimization/","Include primary keyword: 'copilot seo tracker' in H1 and first paragraph; Reference secondary keywords: 'perplexity optimisation services', 'generative engine optimisation glasgow' in body content; Include LLM citation optimization strategies; Reference AI Overviews optimization",1.6,llm_strategy,generative-seo,singapore
en-us,https://nrlc.ai/services/training/houston/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/services/training/houston/,"/services/crawl-clarity/ | /services/json-ld-strategy/ | /services/llm-seeding/ | /services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,training,houston
en-us,https://nrlc.ai/en-us/services/ecommerce-ai-seo/singapore/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/en-us/services/ecommerce-ai-seo/singapore/,"/en-us/services/crawl-clarity/ | /en-us/services/json-ld-strategy/ | /en-us/services/llm-seeding/ | /en-us/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,ecommerce-ai-seo,singapore
en-us,https://nrlc.ai/en-us/services/chatgpt-optimization/london/,"copilot seo tracker","perplexity optimisation services, generative engine optimisation glasgow, llm seeding, ongoing llm seo techniques",Service,https://nrlc.ai/en-us/services/chatgpt-optimization/london/,"/en-us/services/crawl-clarity/ | /en-us/services/json-ld-strategy/ | /en-us/services/llm-seeding/ | /en-us/services/ai-overview-optimization/","Include primary keyword: 'copilot seo tracker' in H1 and first paragraph; Reference secondary keywords: 'perplexity optimisation services', 'generative engine optimisation glasgow' in body content; Include LLM citation optimization strategies; Reference AI Overviews optimization",1.6,llm_strategy,chatgpt-optimization,london
de-de,https://nrlc.ai/de-de/services/analytics/nottingham/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/de-de/services/analytics/nottingham/,"/de-de/services/crawl-clarity/ | /de-de/services/json-ld-strategy/ | /de-de/services/llm-seeding/ | /de-de/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,analytics,nottingham
en-gb,https://nrlc.ai/en-gb/services/claude-optimization/stockport/,"copilot seo tracker","perplexity optimisation services, generative engine optimisation glasgow, llm seeding, ongoing llm seo techniques",Service,https://nrlc.ai/en-gb/services/claude-optimization/stockport/,"/en-gb/services/crawl-clarity/ | /en-gb/services/json-ld-strategy/ | /en-gb/services/llm-seeding/ | /en-gb/services/ai-overview-optimization/","Include primary keyword: 'copilot seo tracker' in H1 and first paragraph; Reference secondary keywords: 'perplexity optimisation services', 'generative engine optimisation glasgow' in body content; Include LLM citation optimization strategies; Reference AI Overviews optimization",1.6,llm_strategy,claude-optimization,stockport
en-us,https://nrlc.ai/en-us/services/technical-audit-ai/cambridge/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/en-us/services/technical-audit-ai/cambridge/,"/en-us/services/crawl-clarity/ | /en-us/services/json-ld-strategy/ | /en-us/services/llm-seeding/ | /en-us/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,technical-audit-ai,cambridge
de-de,https://nrlc.ai/de-de/services/claude-optimization/southend-on-sea/,"copilot seo tracker","perplexity optimisation services, generative engine optimisation glasgow, llm seeding, ongoing llm seo techniques",Service,https://nrlc.ai/de-de/services/claude-optimization/southend-on-sea/,"/de-de/services/crawl-clarity/ | /de-de/services/json-ld-strategy/ | /de-de/services/llm-seeding/ | /de-de/services/ai-overview-optimization/","Include primary keyword: 'copilot seo tracker' in H1 and first paragraph; Reference secondary keywords: 'perplexity optimisation services', 'generative engine optimisation glasgow' in body content; Include LLM citation optimization strategies; Reference AI Overviews optimization",1.6,llm_strategy,claude-optimization,southend-on-sea
en-us,https://nrlc.ai/services/explainability-optimization-ai/oldham/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/services/explainability-optimization-ai/oldham/,"/services/crawl-clarity/ | /services/json-ld-strategy/ | /services/llm-seeding/ | /services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,explainability-optimization-ai,oldham
fr-fr,https://nrlc.ai/fr-fr/services/ranking-optimization-ai/jacksonville/,"search engine ranking optimization stockport","seo ranking stockport, search engine ranking stockport, keyword ranking check chicago, il",Service,https://nrlc.ai/fr-fr/services/ranking-optimization-ai/jacksonville/,"/fr-fr/services/crawl-clarity/ | /fr-fr/services/json-ld-strategy/ | /fr-fr/services/llm-seeding/ | /fr-fr/services/ai-overview-optimization/","Include primary keyword: 'search engine ranking optimization stockport' in H1 and first paragraph; Reference secondary keywords: 'seo ranking stockport', 'search engine ranking stockport' in body content",3.5,ranking_optimization,ranking-optimization-ai,jacksonville
en-us,https://nrlc.ai/services/international-seo/oldham/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/services/international-seo/oldham/,"/services/crawl-clarity/ | /services/json-ld-strategy/ | /services/llm-seeding/ | /services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,international-seo,oldham
de-de,https://nrlc.ai/de-de/services/agentic-seo/detroit/,"copilot seo tracker","perplexity optimisation services, generative engine optimisation glasgow, llm seeding, ongoing llm seo techniques",Service,https://nrlc.ai/de-de/services/agentic-seo/detroit/,"/de-de/services/crawl-clarity/ | /de-de/services/json-ld-strategy/ | /de-de/services/llm-seeding/ | /de-de/services/ai-overview-optimization/","Include primary keyword: 'copilot seo tracker' in H1 and first paragraph; Reference secondary keywords: 'perplexity optimisation services', 'generative engine optimisation glasgow' in body content; Include LLM citation optimization strategies; Reference AI Overviews optimization",1.6,llm_strategy,agentic-seo,detroit
ko-kr,https://nrlc.ai/ko-kr/services/analytics/jacksonville/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/ko-kr/services/analytics/jacksonville/,"/ko-kr/services/crawl-clarity/ | /ko-kr/services/json-ld-strategy/ | /ko-kr/services/llm-seeding/ | /ko-kr/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,analytics,jacksonville
fr-fr,https://nrlc.ai/fr-fr/services/technical-seo/singapore/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/fr-fr/services/technical-seo/singapore/,"/fr-fr/services/crawl-clarity/ | /fr-fr/services/json-ld-strategy/ | /fr-fr/services/llm-seeding/ | /fr-fr/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,technical-seo,singapore
en-us,https://nrlc.ai/services/site-audits/nashville/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/services/site-audits/nashville/,"/services/crawl-clarity/ | /services/json-ld-strategy/ | /services/llm-seeding/ | /services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,site-audits,nashville
de-de,https://nrlc.ai/de-de/services/trust-optimization-ai/huddersfield/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/de-de/services/trust-optimization-ai/huddersfield/,"/de-de/services/crawl-clarity/ | /de-de/services/json-ld-strategy/ | /de-de/services/llm-seeding/ | /de-de/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,trust-optimization-ai,huddersfield
fr-fr,https://nrlc.ai/fr-fr/services/b2b-seo-ai/kingston/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/fr-fr/services/b2b-seo-ai/kingston/,"/fr-fr/services/crawl-clarity/ | /fr-fr/services/json-ld-strategy/ | /fr-fr/services/llm-seeding/ | /fr-fr/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,b2b-seo-ai,kingston
es-es,https://nrlc.ai/es-es/services/technical-seo/phoenix/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/es-es/services/technical-seo/phoenix/,"/es-es/services/crawl-clarity/ | /es-es/services/json-ld-strategy/ | /es-es/services/llm-seeding/ | /es-es/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,technical-seo,phoenix
de-de,https://nrlc.ai/de-de/services/structured-data-ai/raleigh/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/de-de/services/structured-data-ai/raleigh/,"/de-de/services/crawl-clarity/ | /de-de/services/json-ld-strategy/ | /de-de/services/llm-seeding/ | /de-de/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,structured-data-ai,raleigh
en-us,https://nrlc.ai/en-us/services/structured-data-ai/fujimi/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/en-us/services/structured-data-ai/fujimi/,"/en-us/services/crawl-clarity/ | /en-us/services/json-ld-strategy/ | /en-us/services/llm-seeding/ | /en-us/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,structured-data-ai,fujimi
en-us,https://nrlc.ai/services/ai-overviews-optimization/raleigh/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/services/ai-overviews-optimization/raleigh/,"/services/crawl-clarity/ | /services/json-ld-strategy/ | /services/llm-seeding/ | /services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,ai-overviews-optimization,raleigh
en-us,https://nrlc.ai/en-us/services/perplexity-optimization/hamilton/,"copilot seo tracker","perplexity optimisation services, generative engine optimisation glasgow, llm seeding, ongoing llm seo techniques",Service,https://nrlc.ai/en-us/services/perplexity-optimization/hamilton/,"/en-us/services/crawl-clarity/ | /en-us/services/json-ld-strategy/ | /en-us/services/llm-seeding/ | /en-us/services/ai-overview-optimization/","Include primary keyword: 'copilot seo tracker' in H1 and first paragraph; Reference secondary keywords: 'perplexity optimisation services', 'generative engine optimisation glasgow' in body content; Include LLM citation optimization strategies; Reference AI Overviews optimization",1.6,llm_strategy,perplexity-optimization,hamilton
de-de,https://nrlc.ai/de-de/services/knowledge-graph-ai/charlotte/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/de-de/services/knowledge-graph-ai/charlotte/,"/de-de/services/crawl-clarity/ | /de-de/services/json-ld-strategy/ | /de-de/services/llm-seeding/ | /de-de/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,knowledge-graph-ai,charlotte
en-gb,https://nrlc.ai/en-gb/services/ecommerce-ai-seo/atlanta/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/en-gb/services/ecommerce-ai-seo/atlanta/,"/en-gb/services/crawl-clarity/ | /en-gb/services/json-ld-strategy/ | /en-gb/services/llm-seeding/ | /en-gb/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,ecommerce-ai-seo,atlanta
ko-kr,https://nrlc.ai/ko-kr/services/personalization-ai/kawasaki/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/ko-kr/services/personalization-ai/kawasaki/,"/ko-kr/services/crawl-clarity/ | /ko-kr/services/json-ld-strategy/ | /ko-kr/services/llm-seeding/ | /ko-kr/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,personalization-ai,kawasaki
de-de,https://nrlc.ai/de-de/services/claude-optimization/glasgow/,"copilot seo tracker","perplexity optimisation services, generative engine optimisation glasgow, llm seeding, ongoing llm seo techniques",Service,https://nrlc.ai/de-de/services/claude-optimization/glasgow/,"/de-de/services/crawl-clarity/ | /de-de/services/json-ld-strategy/ | /de-de/services/llm-seeding/ | /de-de/services/ai-overview-optimization/","Include primary keyword: 'copilot seo tracker' in H1 and first paragraph; Reference secondary keywords: 'perplexity optimisation services', 'generative engine optimisation glasgow' in body content; Include LLM citation optimization strategies; Reference AI Overviews optimization",1.6,llm_strategy,claude-optimization,glasgow
en-gb,https://nrlc.ai/en-gb/services/multimodal-seo-ai/northampton/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/en-gb/services/multimodal-seo-ai/northampton/,"/en-gb/services/crawl-clarity/ | /en-gb/services/json-ld-strategy/ | /en-gb/services/llm-seeding/ | /en-gb/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,multimodal-seo-ai,northampton
en-us,https://nrlc.ai/en-us/services/ai-search-optimization/tokyo/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/en-us/services/ai-search-optimization/tokyo/,"/en-us/services/crawl-clarity/ | /en-us/services/json-ld-strategy/ | /en-us/services/llm-seeding/ | /en-us/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,ai-search-optimization,tokyo
