keyword,cluster,intent,service_mapping,priority,locale_detected,geo_target,impressions,clicks,notes
"technical seo tampa",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Ca,1,0,
"seo specialist in middlesbrough",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Middlesbrough,1,0,
"seo specialist abbotsford",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Sf,1,0,
"website audit toronto",TECHNICAL_AI_SEO,local_intent,ai_seo,3,en-us,Toronto,1,0,
"search engine ranking stockport",GEO_SEO,local_intent,ranking_optimization,4,en-us,Stockport,4,0,
"search engine optimisation in southport",GEO_SEO,local_intent,ai_seo,4,en-us,Southport,4,0,
"search engine optimisation southport",GEO_SEO,local_intent,ai_seo,4,en-us,Southport,4,0,
"core web vitals optimisation stockport",GEO_SEO,local_intent,ai_seo,4,en-us,Stockport,3,0,
"miami technical soe",GEO_SEO,local_intent,ai_seo,4,en-us,Ca,3,0,
searanking,GENERAL_SEO,informational,ai_seo,4,en-us,,3,0,
"technical writer jobs charlotte nc",GEO_SEO,job_intent,enterprise_ai_hiring,4,en-us,Ca,2,0,
"website audits san francisco",GEO_SEO,local_intent,ai_seo,4,en-us,"San Francisco",2,0,
"technical writer jobs",GEO_SEO,job_intent,enterprise_ai_hiring,4,en-us,Ca,2,0,
"edinburgh search engine optimisation",GEO_SEO,local_intent,ai_seo,4,en-us,Edinburgh,2,0,
"keyword ranking check chicago, il",GEO_SEO,local_intent,ranking_optimization,4,en-us,Ca,2,0,
"newcastle search optimisation",GEO_SEO,local_intent,ai_seo,4,en-us,Ca,2,0,
"jobs near me since yesterday",GEO_SEO,job_intent,enterprise_ai_hiring,4,en-us,"Near Me",1,0,
"knowledge engine arlington",GEO_SEO,local_intent,ai_seo,4,en-us,Arlington,1,0,
"senior technical writer",GEO_SEO,local_intent,ai_seo,4,en-us,Ca,1,0,
"stockport authority link building service",GEO_SEO,local_intent,ai_seo,4,en-us,Il,1,0,
"technical writing jobs",GEO_SEO,job_intent,enterprise_ai_hiring,4,en-us,Ca,1,0,
"writing jobs albuquerque",GEO_SEO,job_intent,enterprise_ai_hiring,4,en-us,Albuquerque,1,0,
"citation drift",GENERAL_SEO,informational,ai_seo,4,en-us,,1,0,
"conversion rate optimisation halifax",GENERAL_SEO,informational,ai_seo,4,en-us,,1,0,
"google analytics advice leicester",GEO_SEO,local_intent,ai_seo,4,en-us,Leicester,1,0,
"competitor analytics chicago, il",GEO_SEO,local_intent,ai_seo,4,en-us,Ca,1,0,
"conversion rate optimisation wolverhampton",GENERAL_SEO,informational,ai_seo,4,en-us,,1,0,
"sapporo competitor",GENERAL_SEO,informational,ai_seo,4,en-us,,1,0,
"marketing audits raleigh",GEO_SEO,local_intent,ai_seo,4,en-us,Raleigh,1,0,
"ontology based search engine",GENERAL_SEO,informational,ai_seo,4,en-us,,1,0,
"conversion tracking leicester",GEO_SEO,local_intent,ai_seo,4,en-us,Leicester,1,0,
"immutable crunchbase",GENERAL_SEO,informational,ai_seo,4,en-us,,1,0,
"search engine optimisation huddersfield",GEO_SEO,local_intent,ai_seo,4,en-us,Sf,1,0,
"link building minneapolis mn",GEO_SEO,local_intent,ai_seo,4,en-us,Il,1,0,
"search engine optimisation in southend-on-sea",GEO_SEO,local_intent,ai_seo,4,en-us,"Southend On Sea",1,0,
"search engine optimisation in sudbury",GENERAL_SEO,informational,ai_seo,4,en-us,,1,0,
