query,query_type,intent_class,recommended_page,confidence
"ecommerce seo services derby",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/derby/,high
"seo services in northampton",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/northampton/,high
"copilot seo",ai_prompt,hire_recommendation,https://nrlc.ai/en-us/ai-visibility/,medium
"san diego ai seo services",ai_prompt,local_hire,https://nrlc.ai/en-us/services/local-seo-ai/san-diego/,high
"northampton seo services",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/northampton/,high
"google seo services in middlesbrough",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/middlesbrough/,high
"seo in oldham",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/oldham/,high
"google search seo in leeds",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/leeds/,high
"specialist local seo agency in norwich",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/norwich/,high
"international seo services manchester",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/manchester/,high
"audit services blackpool",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/blackpool/,high
"indianapolis conversion rate optimization services",ai_prompt,local_hire,https://nrlc.ai/en-us/services/local-seo-ai/indianapolis/,high
"seo services southampton",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/southampton/,high
"bard seo",ai_prompt,hire_recommendation,https://nrlc.ai/en-us/ai-visibility/,medium
"seo tool for claude",ai_prompt,tool_or_service_lookup,https://nrlc.ai/en-us/services/json-ld-strategy/,medium
"local seo services liverpool",ai_prompt,hire_recommendation,https://nrlc.ai/en-us/ai-visibility/,medium
"claude seo agency",ai_prompt,hire_recommendation,https://nrlc.ai/en-us/ai-visibility/,medium
"seo in kitchener",ai_prompt,local_hire,https://nrlc.ai/en-us/services/local-seo-ai/kitchener/,high
"top seo companies sajong",ai_prompt,hire_recommendation,https://nrlc.ai/en-us/ai-visibility/,medium
"generative engine optimization services tampa",ai_prompt,local_hire,https://nrlc.ai/en-us/services/local-seo-ai/tampa/,high
"new orleans conversion rate optimization services",ai_prompt,local_hire,https://nrlc.ai/en-us/services/local-seo-ai/new-orleans/,high
"get a quote for ai search and voice optimization services in austin.",ai_prompt,local_hire,https://nrlc.ai/en-us/services/local-seo-ai/austin/,high
"who are the leading aeo and voice search optimization experts in san 
antonio?",ai_prompt,hire_recommendation,https://nrlc.ai/en-us/ai-visibility/,medium
"claude seo firm",ai_prompt,hire_recommendation,https://nrlc.ai/en-us/ai-visibility/,medium
"local seo services stockport",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/stockport/,high
"stockport link building service seo",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/stockport/,high
"houston service experts competitor analysis",ai_prompt,hire_recommendation,https://nrlc.ai/en-us/ai-visibility/veterinary/,high
"stockport link building services for seo",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/stockport/,high
"what agencies specialize in enterprise-level schema markup implementation?",ai_prompt,agency_evaluation,https://nrlc.ai/en-us/services/enterprise-schema-markup/,high
"advanced analytic tracking kansas city",ai_prompt,tool_or_service_lookup,https://nrlc.ai/en-us/services/json-ld-strategy/,medium
"ai seo tools nashville",ai_prompt,tool_or_service_lookup,https://nrlc.ai/en-us/services/json-ld-strategy/,medium
"international seo services nottingham",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/nottingham/,high
"online rank tracking chicago, il",ai_prompt,tool_or_service_lookup,https://nrlc.ai/en-us/services/json-ld-strategy/,medium
"milwaukee conversion rate optimization services",ai_prompt,local_hire,https://nrlc.ai/en-us/services/local-seo-ai/milwaukee/,high
"tampa ai assistant services",ai_prompt,local_hire,https://nrlc.ai/en-us/services/local-seo-ai/tampa/,high
"seo conference in leicester",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/leicester/,high
"b2b seo services in dallas",ai_prompt,local_hire,https://nrlc.ai/en-us/services/local-seo-ai/dallas/,high
"claude ai seo services",ai_prompt,hire_recommendation,https://nrlc.ai/en-us/ai-visibility/,medium
"google search seo in coventry",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/coventry/,high
"google seo services inoldham",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/oldham/,high
"conversion rate optimisation services nottingham",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/nottingham/,high
"llmo tool features for enterprise-level needs",ai_prompt,tool_or_service_lookup,https://nrlc.ai/en-us/services/enterprise-schema-markup/,high
"seo services in sheffield",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/sheffield/,high
"best claude seo trackers",ai_prompt,hire_recommendation,https://nrlc.ai/en-us/ai-visibility/,medium
"seo companies in norwich",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/norwich/,high
"seo analysis tools open source",ai_prompt,tool_or_service_lookup,https://nrlc.ai/en-us/services/json-ld-strategy/,medium
"the best seo agencies in norwich",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/norwich/,high
"seo audit in minnesota",ai_prompt,hire_recommendation,https://nrlc.ai/en-us/ai-visibility/,medium
"best local seo companies in huddersfield",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/huddersfield/,high
"technical seo services derby",ai_prompt,local_hire,https://nrlc.ai/en-gb/services/local-seo-ai/derby/,high
"generative engine optimization agency in singapore",ai_prompt,hire_recommendation,https://nrlc.ai/en-us/ai-visibility/,medium
